api,inboundDependencyCount,inboundDependents,outboundDependencyCount,outboundDependencies
Service-1008,4,"[Service-5889, Service-9500, Service-3030, Service-14574]",2,"[Service-854, Service-5539]"
Service-1009,4,"[Service-16428, Service-603, Service-7793, Service-15440]",4,"[Service-10356, Service-7373, Service-10104, Service-12553]"
Service-1010,4,"[Service-18584, Service-12112, Service-4959, Service-1870]",3,"[Service-291, Service-19435, Service-2128]"
Service-1011,4,"[Service-16894, Service-19179, Service-2167, Service-8523]",0,[]
Service-1012,2,"[Service-19022, Service-16524]",0,[]
Service-1013,4,"[Service-18275, Service-19606, Service-3846, Service-5904]",0,[]
Service-1014,3,"[Service-18159, Service-13305, Service-18657]",1,"[Service-12804]"
Service-1015,1,"[Service-2399]",4,"[Service-19533, Service-17364, Service-1288, Service-10778]"
Service-1016,3,"[Service-11930, Service-2307, Service-4987]",4,"[Service-2349, Service-11714, Service-16703, Service-964]"
Service-1017,0,[],3,"[Service-7193, Service-17047, Service-14794]"
Service-1018,3,"[Service-12912, Service-19499, Service-11954]",3,"[Service-16076, Service-13081, Service-9278]"
Service-1019,0,[],2,"[Service-1581, Service-2785]"
Service-1020,2,"[Service-720, Service-17836]",1,"[Service-11197]"
Service-1021,3,"[Service-5042, Service-13389, Service-8736]",0,[]
Service-1022,2,"[Service-12874, Service-19242]",3,"[Service-6890, Service-8667, Service-12811]"
Service-1023,3,"[Service-9264, Service-7541, Service-19772]",0,[]
Service-1024,1,"[Service-4597]",2,"[Service-16111, Service-15661]"
Service-1025,4,"[Service-8869, Service-2818, Service-19949, Service-11923]",2,"[Service-14911, Service-19123]"
Service-1026,4,"[Service-11587, Service-19796, Service-18078, Service-9890]",3,"[Service-18667, Service-7002, Service-3003]"
Service-1027,0,[],4,"[Service-3592, Service-3468, Service-3536, Service-5623]"
Service-1028,3,"[Service-11306, Service-4189, Service-14556]",2,"[Service-8130, Service-9346]"
Service-1029,2,"[Service-17412, Service-17895]",2,"[Service-6658, Service-5924]"
Service-1030,2,"[Service-15102, Service-5910]",2,"[Service-16414, Service-14350]"
Service-1031,2,"[Service-12738, Service-13226]",3,"[Service-10474, Service-17794, Service-8359]"
Service-1032,0,[],3,"[Service-3891, Service-11425, Service-9134]"
Service-1033,4,"[Service-5628, Service-10284, Service-15350, Service-9362]",3,"[Service-3871, Service-848, Service-7690]"
Service-1034,4,"[Service-19572, Service-14628, Service-12210, Service-3934]",0,[]
Service-1035,1,"[Service-10217]",0,[]
Service-1036,3,"[Service-7931, Service-1850, Service-14351]",3,"[Service-16642, Service-4171, Service-9322]"
Service-1037,4,"[Service-2763, Service-17806, Service-5663, Service-11379]",1,"[Service-6733]"
Service-1038,3,"[Service-14478, Service-1246, Service-3418]",0,[]
Service-1039,0,[],2,"[Service-1350, Service-9432]"
Service-1040,1,"[Service-17332]",2,"[Service-10945, Service-13750]"
Service-1041,4,"[Service-10507, Service-16009, Service-17818, Service-11261]",2,"[Service-11501, Service-6554]"
Service-1042,4,"[Service-14492, Service-8516, Service-12683, Service-13411]",1,"[Service-5700]"
Service-1043,2,"[Service-9544, Service-11501]",1,"[Service-18915]"
Service-1044,0,[],1,"[Service-816]"
Service-1045,0,[],2,"[Service-9723, Service-1489]"
Service-1046,0,[],0,[]
Service-1047,3,"[Service-15058, Service-5938, Service-19362]",4,"[Service-3194, Service-6164, Service-4694, Service-3101]"
Service-1048,3,"[Service-4632, Service-4621, Service-15932]",2,"[Service-4686, Service-9942]"
Service-1049,3,"[Service-9360, Service-11119, Service-448]",4,"[Service-16802, Service-4180, Service-1003, Service-5647]"
Service-1050,3,"[Service-12511, Service-9296, Service-18718]",4,"[Service-8338, Service-18458, Service-1346, Service-18465]"
Service-1051,1,"[Service-12052]",4,"[Service-18961, Service-14149, Service-12942, Service-13705]"
Service-1052,2,"[Service-16943, Service-17965]",4,"[Service-6986, Service-2114, Service-8433, Service-18481]"
Service-1053,3,"[Service-18405, Service-8797, Service-6890]",1,"[Service-16113]"
Service-1054,1,"[Service-11559]",1,"[Service-15255]"
Service-1055,2,"[Service-17051, Service-6339]",0,[]
Service-1056,1,"[Service-4155]",4,"[Service-11446, Service-7923, Service-18871, Service-19368]"
Service-1057,2,"[Service-1391, Service-11118]",2,"[Service-12543, Service-11420]"
Service-1058,1,"[Service-12215]",4,"[Service-3254, Service-8616, Service-9178, Service-2220]"
Service-1059,0,[],3,"[Service-16460, Service-3851, Service-12290]"
Service-1060,3,"[Service-2861, Service-4261, Service-5596]",4,"[Service-5094, Service-2696, Service-11495, Service-16100]"
Service-1061,4,"[Service-5704, Service-17930, Service-7299, Service-18067]",3,"[Service-5887, Service-6144, Service-6521]"
Service-1062,2,"[Service-3162, Service-2421]",0,[]
Service-1063,4,"[Service-15071, Service-9005, Service-3343, Service-14949]",0,[]
Service-1064,1,"[Service-1906]",3,"[Service-12149, Service-10102, Service-17771]"
Service-1065,4,"[Service-13564, Service-7212, Service-17768, Service-17101]",1,"[Service-446]"
Service-1066,4,"[Service-16868, Service-5661, Service-532, Service-18075]",4,"[Service-8924, Service-14180, Service-18533, Service-7097]"
Service-1067,2,"[Service-5190, Service-16715]",1,"[Service-8573]"
Service-1068,1,"[Service-3174]",3,"[Service-409, Service-10132, Service-9763]"
Service-1069,1,"[Service-6184]",0,[]
Service-1070,0,[],3,"[Service-7534, Service-5415, Service-10417]"
Service-1071,4,"[Service-962, Service-4548, Service-10957, Service-18256]",2,"[Service-7979, Service-1662]"
Service-1072,2,"[Service-8105, Service-16760]",1,"[Service-3022]"
Service-1073,1,"[Service-12521]",0,[]
Service-1074,3,"[Service-1232, Service-5734, Service-4597]",3,"[Service-19600, Service-4430, Service-11340]"
Service-1075,1,"[Service-3158]",2,"[Service-14003, Service-9008]"
Service-1076,1,"[Service-11300]",2,"[Service-15146, Service-8483]"
Service-1077,1,"[Service-19538]",0,[]
Service-1078,2,"[Service-17643, Service-3509]",3,"[Service-17307, Service-17487, Service-9349]"
Service-1079,2,"[Service-14952, Service-6932]",3,"[Service-18974, Service-10185, Service-11389]"
Service-1080,2,"[Service-13624, Service-7103]",3,"[Service-15832, Service-7283, Service-9956]"
Service-1081,4,"[Service-7675, Service-4319, Service-18210, Service-8095]",4,"[Service-16501, Service-15814, Service-17022, Service-19751]"
Service-1082,2,"[Service-2440, Service-6134]",0,[]
Service-1083,1,"[Service-11757]",2,"[Service-7921, Service-15749]"
Service-1084,1,"[Service-850]",1,"[Service-12050]"
Service-1085,0,[],0,[]
Service-1086,0,[],0,[]
Service-1087,0,[],3,"[Service-7190, Service-14059, Service-18527]"
Service-1088,0,[],3,"[Service-3809, Service-1524, Service-11980]"
Service-1089,3,"[Service-2816, Service-17659, Service-15657]",4,"[Service-6375, Service-16804, Service-5395, Service-18437]"
Service-1090,3,"[Service-18865, Service-13114, Service-9260]",4,"[Service-9228, Service-6222, Service-17324, Service-14556]"
Service-1091,3,"[Service-4308, Service-17468, Service-9790]",1,"[Service-17824]"
Service-1092,1,"[Service-14298]",0,[]
Service-1093,2,"[Service-4935, Service-18041]",4,"[Service-6656, Service-4247, Service-13003, Service-2292]"
Service-1094,4,"[Service-903, Service-13689, Service-11587, Service-14240]",1,"[Service-1171]"
Service-1095,2,"[Service-11749, Service-7545]",4,"[Service-14664, Service-6072, Service-7154, Service-9447]"
Service-1096,1,"[Service-14762]",1,"[Service-8721]"
Service-1097,0,[],3,"[Service-17326, Service-18852, Service-15622]"
Service-1098,2,"[Service-19926, Service-1766]",1,"[Service-3523]"
Service-1099,1,"[Service-12595]",4,"[Service-3687, Service-7382, Service-16742, Service-12092]"
Service-1100,4,"[Service-2463, Service-9927, Service-15038, Service-15076]",4,"[Service-16298, Service-11103, Service-9680, Service-12274]"
Service-1101,4,"[Service-5435, Service-15726, Service-8649, Service-11950]",2,"[Service-11597, Service-3583]"
Service-1102,0,[],1,"[Service-11796]"
Service-1103,4,"[Service-11047, Service-1922, Service-1862, Service-6048]",2,"[Service-10010, Service-3848]"
Service-1104,3,"[Service-2475, Service-1541, Service-13131]",2,"[Service-8942, Service-11198]"
Service-1105,4,"[Service-18498, Service-4961, Service-11152, Service-10653]",1,"[Service-12651]"
Service-1106,0,[],2,"[Service-13219, Service-13379]"
Service-1107,0,[],0,[]
Service-1108,1,"[Service-18871]",0,[]
Service-1109,2,"[Service-4599, Service-13126]",0,[]
Service-1110,0,[],0,[]
Service-1111,0,[],2,"[Service-18101, Service-14440]"
Service-1112,1,"[Service-13034]",3,"[Service-19252, Service-19051, Service-1537]"
Service-1113,1,"[Service-6555]",2,"[Service-16598, Service-3988]"
Service-1114,4,"[Service-2262, Service-5227, Service-7832, Service-15728]",1,"[Service-2293]"
Service-1115,4,"[Service-5246, Service-2711, Service-3571, Service-12745]",3,"[Service-16685, Service-2172, Service-7375]"
Service-1116,1,"[Service-7232]",2,"[Service-4663, Service-1981]"
Service-1117,2,"[Service-10199, Service-7623]",1,"[Service-656]"
Service-1118,2,"[Service-5603, Service-11026]",0,[]
Service-1119,4,"[Service-17926, Service-9571, Service-8984, Service-7166]",0,[]
Service-1120,0,[],2,"[Service-13366, Service-8347]"
Service-1121,0,[],2,"[Service-2711, Service-10381]"
Service-1122,4,"[Service-4468, Service-6588, Service-5532, Service-7666]",2,"[Service-14145, Service-9118]"
Service-1123,2,"[Service-6993, Service-10346]",1,"[Service-6461]"
Service-1124,1,"[Service-4803]",4,"[Service-4018, Service-12068, Service-7362, Service-1321]"
Service-1125,0,[],0,[]
Service-1126,1,"[Service-4376]",4,"[Service-14446, Service-7245, Service-12182, Service-3230]"
Service-1127,1,"[Service-12430]",2,"[Service-8215, Service-10496]"
Service-1128,2,"[Service-9295, Service-7196]",4,"[Service-13473, Service-17459, Service-10642, Service-13508]"
Service-1129,0,[],2,"[Service-9408, Service-10606]"
Service-1130,3,"[Service-3377, Service-12803, Service-17383]",1,"[Service-15129]"
Service-1131,2,"[Service-9350, Service-7988]",3,"[Service-4557, Service-9880, Service-10115]"
Service-1132,2,"[Service-9793, Service-2107]",0,[]
Service-1133,3,"[Service-6511, Service-19465, Service-16393]",3,"[Service-2974, Service-163, Service-19324]"
Service-1134,1,"[Service-9936]",0,[]
Service-1135,1,"[Service-3069]",0,[]
Service-1136,2,"[Service-160, Service-12524]",4,"[Service-33, Service-17452, Service-2982, Service-6806]"
Service-1137,4,"[Service-11774, Service-3899, Service-1403, Service-10544]",4,"[Service-217, Service-12810, Service-7488, Service-18697]"
Service-1138,1,"[Service-5750]",3,"[Service-3224, Service-7224, Service-11719]"
Service-1139,2,"[Service-5762, Service-2182]",4,"[Service-12593, Service-17259, Service-1396, Service-19921]"
Service-1140,0,[],0,[]
Service-1141,1,"[Service-10916]",2,"[Service-5324, Service-12190]"
Service-1142,0,[],1,"[Service-6193]"
Service-1143,0,[],1,"[Service-5015]"
Service-1144,2,"[Service-12935, Service-7871]",0,[]
Service-1145,2,"[Service-5668, Service-13162]",4,"[Service-8343, Service-12713, Service-10365, Service-4909]"
Service-1146,0,[],4,"[Service-18147, Service-12646, Service-17136, Service-14564]"
Service-1147,2,"[Service-17138, Service-14119]",3,"[Service-19856, Service-11771, Service-17217]"
Service-1148,1,"[Service-19945]",4,"[Service-17570, Service-13372, Service-11162, Service-10301]"
Service-1149,0,[],4,"[Service-10057, Service-6319, Service-621, Service-6574]"
Service-1150,3,"[Service-715, Service-10639, Service-13136]",1,"[Service-18527]"
Service-1151,1,"[Service-9535]",3,"[Service-2804, Service-4281, Service-8693]"
Service-1152,3,"[Service-6201, Service-16712, Service-11035]",2,"[Service-14294, Service-7215]"
Service-1153,0,[],1,"[Service-14000]"
Service-1154,2,"[Service-7787, Service-8763]",4,"[Service-9827, Service-14654, Service-3409, Service-1676]"
Service-1155,4,"[Service-6035, Service-2829, Service-9904, Service-2586]",2,"[Service-6252, Service-4532]"
Service-1156,2,"[Service-11243, Service-2917]",3,"[Service-10930, Service-10258, Service-3988]"
Service-1157,0,[],3,"[Service-18478, Service-14730, Service-13878]"
Service-1158,0,[],0,[]
Service-1159,1,"[Service-15947]",0,[]
Service-1160,2,"[Service-19344, Service-12066]",3,"[Service-875, Service-13456, Service-7416]"
Service-1161,0,[],4,"[Service-2478, Service-11721, Service-6464, Service-9586]"
Service-1162,1,"[Service-18923]",1,"[Service-3589]"
Service-1163,3,"[Service-10550, Service-3804, Service-1602]",3,"[Service-19170, Service-14089, Service-7760]"
Service-1164,4,"[Service-19086, Service-9934, Service-16662, Service-17660]",1,"[Service-14125]"
Service-1165,1,"[Service-11602]",1,"[Service-5926]"
Service-1166,4,"[Service-17738, Service-15658, Service-86, Service-6285]",1,"[Service-6172]"
Service-1167,3,"[Service-14830, Service-17225, Service-3384]",1,"[Service-11147]"
Service-1168,4,"[Service-9209, Service-15950, Service-10630, Service-13908]",2,"[Service-17324, Service-2664]"
Service-1169,3,"[Service-12106, Service-5730, Service-6688]",4,"[Service-7863, Service-10077, Service-12937, Service-17799]"
Service-1170,0,[],2,"[Service-1084, Service-12848]"
Service-1171,1,"[Service-3483]",0,[]
Service-1172,0,[],2,"[Service-2421, Service-19243]"
Service-1173,1,"[Service-5428]",2,"[Service-9973, Service-4628]"
Service-1174,0,[],4,"[Service-158, Service-2691, Service-9690, Service-1843]"
Service-1175,1,"[Service-17327]",2,"[Service-11327, Service-16237]"
Service-1176,0,[],1,"[Service-5319]"
Service-1177,4,"[Service-4610, Service-11526, Service-14737, Service-19991]",4,"[Service-9306, Service-5538, Service-18056, Service-8170]"
Service-1178,2,"[Service-12578, Service-280]",4,"[Service-11851, Service-16871, Service-17364, Service-6781]"
Service-1179,3,"[Service-10267, Service-6618, Service-3778]",3,"[Service-9203, Service-4961, Service-2876]"
Service-1180,4,"[Service-18404, Service-14310, Service-9647, Service-15373]",3,"[Service-15502, Service-7896, Service-4296]"
Service-1181,1,"[Service-2301]",3,"[Service-16342, Service-17136, Service-16335]"
Service-1182,3,"[Service-7768, Service-4027, Service-3008]",4,"[Service-1287, Service-19715, Service-2015, Service-1311]"
Service-1183,2,"[Service-12283, Service-1572]",4,"[Service-5384, Service-11368, Service-3382, Service-17039]"
Service-1184,2,"[Service-11507, Service-17678]",4,"[Service-6633, Service-15056, Service-13852, Service-2055]"
Service-1185,4,"[Service-7063, Service-7068, Service-18318, Service-3725]",4,"[Service-9781, Service-13358, Service-460, Service-4419]"
Service-1186,1,"[Service-15414]",0,[]
Service-1187,2,"[Service-16484, Service-14601]",2,"[Service-4445, Service-12461]"
Service-1188,0,[],4,"[Service-7150, Service-5860, Service-2178, Service-8089]"
Service-1189,4,"[Service-7672, Service-5809, Service-15006, Service-12929]",2,"[Service-10239, Service-4780]"
Service-1190,2,"[Service-17067, Service-5822]",1,"[Service-5240]"
Service-1191,0,[],2,"[Service-17193, Service-18823]"
Service-1192,0,[],4,"[Service-9585, Service-5868, Service-16963, Service-2079]"
Service-1193,3,"[Service-5986, Service-5282, Service-7829]",0,[]
Service-1194,4,"[Service-11806, Service-8449, Service-12548, Service-17290]",3,"[Service-5088, Service-5787, Service-18918]"
Service-1195,1,"[Service-3188]",2,"[Service-11941, Service-17930]"
Service-1196,0,[],2,"[Service-5047, Service-12833]"
Service-1197,2,"[Service-18806, Service-72]",4,"[Service-2778, Service-18526, Service-1624, Service-19739]"
Service-1198,0,[],0,[]
Service-1199,4,"[Service-15760, Service-16286, Service-5757, Service-2327]",1,"[Service-7758]"
Service-1200,0,[],4,"[Service-7017, Service-3537, Service-12040, Service-11774]"
Service-1201,4,"[Service-2349, Service-4464, Service-18368, Service-489]",0,[]
Service-1202,0,[],0,[]
Service-1203,0,[],1,"[Service-18538]"
Service-1204,4,"[Service-5279, Service-2590, Service-3833, Service-4433]",0,[]
Service-1205,3,"[Service-3431, Service-15288, Service-17265]",4,"[Service-11730, Service-9087, Service-6247, Service-13124]"
Service-1206,2,"[Service-15841, Service-19662]",3,"[Service-17407, Service-8724, Service-8568]"
Service-1207,4,"[Service-16318, Service-1770, Service-1417, Service-15249]",4,"[Service-8929, Service-16918, Service-4511, Service-583]"
Service-1208,1,"[Service-4716]",4,"[Service-12411, Service-7381, Service-16087, Service-5523]"
Service-1209,4,"[Service-16928, Service-18185, Service-13008, Service-9880]",4,"[Service-3006, Service-13336, Service-4363, Service-15210]"
Service-1210,1,"[Service-9902]",4,"[Service-247, Service-14450, Service-18783, Service-8341]"
Service-1211,2,"[Service-12414, Service-18089]",3,"[Service-9073, Service-3024, Service-3583]"
Service-1212,3,"[Service-8913, Service-18892, Service-10376]",3,"[Service-16049, Service-6550, Service-15182]"
Service-1213,2,"[Service-4470, Service-9276]",1,"[Service-1815]"
Service-1214,2,"[Service-7879, Service-3079]",4,"[Service-16365, Service-11085, Service-6128, Service-17219]"
Service-1215,0,[],1,"[Service-6073]"
Service-1216,2,"[Service-5434, Service-3523]",1,"[Service-16211]"
Service-1217,3,"[Service-1523, Service-14336, Service-8799]",0,[]
Service-1218,1,"[Service-6802]",3,"[Service-7098, Service-19977, Service-14269]"
Service-1219,1,"[Service-18639]",3,"[Service-947, Service-9968, Service-8003]"
Service-1220,4,"[Service-17127, Service-15015, Service-17359, Service-19719]",1,"[Service-12948]"
Service-1221,0,[],4,"[Service-4442, Service-11362, Service-18087, Service-9400]"
Service-1222,2,"[Service-10617, Service-18967]",4,"[Service-7085, Service-337, Service-19646, Service-18302]"
Service-1223,3,"[Service-5230, Service-11078, Service-7359]",1,"[Service-4204]"
Service-1224,2,"[Service-16366, Service-6521]",3,"[Service-8742, Service-17503, Service-7253]"
Service-1225,3,"[Service-12241, Service-16591, Service-15284]",0,[]
Service-1226,3,"[Service-9166, Service-2898, Service-1284]",2,"[Service-7138, Service-14732]"
Service-1227,3,"[Service-11742, Service-4487, Service-17525]",4,"[Service-7193, Service-765, Service-11664, Service-11444]"
Service-1228,1,"[Service-15942]",4,"[Service-9472, Service-2830, Service-859, Service-19603]"
Service-1229,3,"[Service-1091, Service-5858, Service-5549]",1,"[Service-1974]"
Service-1230,3,"[Service-15892, Service-17724, Service-15558]",4,"[Service-13880, Service-19458, Service-12277, Service-18830]"
Service-1231,0,[],4,"[Service-1136, Service-2458, Service-1436, Service-18366]"
Service-1232,1,"[Service-15136]",2,"[Service-18874, Service-18447]"
Service-1233,3,"[Service-27, Service-5032, Service-14715]",0,[]
Service-1234,2,"[Service-6982, Service-14021]",0,[]
Service-1235,1,"[Service-15446]",3,"[Service-1047, Service-2578, Service-13215]"
Service-1236,1,"[Service-16820]",3,"[Service-8570, Service-18923, Service-3170]"
Service-1237,3,"[Service-12628, Service-19160, Service-15866]",0,[]
Service-1238,3,"[Service-11695, Service-10530, Service-290]",1,"[Service-5547]"
Service-1239,0,[],0,[]
Service-1240,2,"[Service-4343, Service-7346]",3,"[Service-4639, Service-2337, Service-15186]"
Service-1241,3,"[Service-11269, Service-15334, Service-15469]",1,"[Service-15774]"
Service-1242,1,"[Service-14916]",2,"[Service-16205, Service-16296]"
Service-1243,4,"[Service-14078, Service-4621, Service-2043, Service-8811]",2,"[Service-17128, Service-8211]"
Service-1244,3,"[Service-9083, Service-16446, Service-17218]",2,"[Service-19467, Service-8662]"
Service-1245,4,"[Service-8824, Service-19868, Service-10574, Service-12732]",2,"[Service-28, Service-7752]"
Service-1246,0,[],0,[]
Service-1247,1,"[Service-7590]",3,"[Service-1552, Service-1133, Service-3243]"
Service-1248,4,"[Service-1937, Service-14176, Service-233, Service-18570]",0,[]
Service-1249,0,[],2,"[Service-15090, Service-19921]"
Service-1250,2,"[Service-9774, Service-8363]",4,"[Service-7557, Service-8471, Service-1930, Service-12935]"
Service-1251,1,"[Service-14331]",3,"[Service-8749, Service-8959, Service-15006]"
Service-1252,3,"[Service-3510, Service-10651, Service-18289]",3,"[Service-17596, Service-12560, Service-16034]"
Service-1253,4,"[Service-9804, Service-10670, Service-9650, Service-1418]",3,"[Service-19416, Service-19034, Service-3951]"
Service-1254,3,"[Service-12961, Service-3662, Service-6350]",1,"[Service-6552]"
Service-1255,2,"[Service-18588, Service-18430]",3,"[Service-12420, Service-12444, Service-17534]"
Service-1256,0,[],0,[]
Service-1257,3,"[Service-347, Service-19258, Service-971]",1,"[Service-18369]"
Service-1258,4,"[Service-431, Service-9890, Service-323, Service-4352]",2,"[Service-10186, Service-19197]"
Service-1259,4,"[Service-6823, Service-3699, Service-16658, Service-18936]",1,"[Service-3651]"
Service-1260,2,"[Service-15301, Service-19861]",2,"[Service-11767, Service-7181]"
Service-1261,1,"[Service-309]",0,[]
Service-1262,4,"[Service-19663, Service-11493, Service-14965, Service-5311]",2,"[Service-19092, Service-15156]"
Service-1263,1,"[Service-8692]",1,"[Service-11043]"
Service-1264,0,[],4,"[Service-7043, Service-12507, Service-9139, Service-9876]"
Service-1265,4,"[Service-8838, Service-8268, Service-16834, Service-4866]",2,"[Service-13827, Service-9574]"
Service-1266,1,"[Service-10095]",0,[]
Service-1267,4,"[Service-11778, Service-14567, Service-1289, Service-11280]",1,"[Service-12368]"
Service-1268,2,"[Service-4517, Service-15205]",3,"[Service-13872, Service-1945, Service-7495]"
Service-1269,4,"[Service-16919, Service-19148, Service-16664, Service-6603]",4,"[Service-12578, Service-18440, Service-4404, Service-7442]"
Service-1270,4,"[Service-245, Service-11863, Service-7766, Service-15578]",0,[]
Service-1271,0,[],0,[]
Service-1272,2,"[Service-880, Service-15794]",3,"[Service-8178, Service-13812, Service-3339]"
Service-1273,3,"[Service-18349, Service-4170, Service-16199]",2,"[Service-12511, Service-14980]"
Service-1274,2,"[Service-593, Service-8290]",2,"[Service-2151, Service-13473]"
Service-1275,3,"[Service-15390, Service-16375, Service-15072]",2,"[Service-16563, Service-11020]"
Service-1276,4,"[Service-6183, Service-356, Service-16460, Service-4877]",4,"[Service-8422, Service-18640, Service-18713, Service-12202]"
Service-1277,1,"[Service-17022]",2,"[Service-6084, Service-10522]"
Service-1278,0,[],2,"[Service-4959, Service-10232]"
Service-1279,0,[],3,"[Service-836, Service-7584, Service-11611]"
Service-1280,2,"[Service-12767, Service-14339]",1,"[Service-14320]"
Service-1281,3,"[Service-9991, Service-19168, Service-15087]",1,"[Service-9634]"
Service-1282,4,"[Service-7958, Service-10457, Service-19271, Service-18404]",4,"[Service-7763, Service-18674, Service-922, Service-19666]"
Service-1283,4,"[Service-4263, Service-4279, Service-11842, Service-4271]",3,"[Service-12586, Service-16395, Service-9775]"
Service-1284,3,"[Service-16508, Service-5497, Service-5984]",1,"[Service-16870]"
Service-1285,3,"[Service-14894, Service-939, Service-16495]",4,"[Service-9907, Service-5415, Service-19400, Service-4641]"
Service-1286,4,"[Service-8652, Service-299, Service-14513, Service-884]",0,[]
Service-1287,3,"[Service-14429, Service-15949, Service-12835]",2,"[Service-4911, Service-10733]"
Service-1288,4,"[Service-6582, Service-9514, Service-9402, Service-15612]",1,"[Service-8606]"
Service-1289,1,"[Service-7612]",1,"[Service-16616]"
Service-1290,2,"[Service-13679, Service-838]",3,"[Service-18876, Service-15744, Service-750]"
Service-1291,1,"[Service-4327]",4,"[Service-14631, Service-5730, Service-5853, Service-13911]"
Service-1292,0,[],2,"[Service-3845, Service-16200]"
Service-1293,2,"[Service-19049, Service-3767]",1,"[Service-15955]"
Service-1294,2,"[Service-19295, Service-18399]",0,[]
Service-1295,1,"[Service-19286]",4,"[Service-18119, Service-309, Service-2760, Service-4626]"
Service-1296,1,"[Service-4867]",0,[]
Service-1297,1,"[Service-80]",0,[]
Service-1298,3,"[Service-9525, Service-17108, Service-18141]",1,"[Service-7086]"
Service-1299,3,"[Service-3669, Service-4509, Service-8492]",3,"[Service-9858, Service-466, Service-11760]"
Service-1300,4,"[Service-4039, Service-2923, Service-3824, Service-3176]",0,[]
Service-1301,2,"[Service-12499, Service-17174]",4,"[Service-16411, Service-7955, Service-14568, Service-7840]"
Service-1302,3,"[Service-15467, Service-10535, Service-12578]",4,"[Service-11817, Service-6790, Service-957, Service-18219]"
Service-1303,3,"[Service-12462, Service-5194, Service-12111]",0,[]
Service-1304,2,"[Service-10906, Service-3413]",4,"[Service-14317, Service-13340, Service-18792, Service-8855]"
Service-1305,3,"[Service-9997, Service-5599, Service-13096]",3,"[Service-2381, Service-16936, Service-2846]"
Service-1306,4,"[Service-1492, Service-3855, Service-12799, Service-17828]",3,"[Service-3400, Service-5362, Service-5497]"
Service-1307,3,"[Service-14993, Service-10008, Service-17763]",2,"[Service-11405, Service-6544]"
Service-1308,4,"[Service-453, Service-12130, Service-3276, Service-14868]",2,"[Service-420, Service-8188]"
Service-1309,4,"[Service-11476, Service-19165, Service-11973, Service-8794]",3,"[Service-4217, Service-8060, Service-15960]"
Service-1310,4,"[Service-16047, Service-7241, Service-8237, Service-12407]",2,"[Service-19458, Service-1614]"
Service-1311,1,"[Service-14455]",1,"[Service-14569]"
Service-1312,4,"[Service-17765, Service-14747, Service-6546, Service-10533]",0,[]
Service-1313,1,"[Service-992]",1,"[Service-9806]"
Service-1314,1,"[Service-19078]",3,"[Service-8016, Service-13181, Service-12847]"
Service-1315,0,[],0,[]
Service-1316,3,"[Service-8338, Service-7307, Service-19913]",0,[]
Service-1317,2,"[Service-6940, Service-12173]",0,[]
Service-1318,3,"[Service-5649, Service-708, Service-6481]",2,"[Service-13341, Service-3014]"
Service-1319,1,"[Service-7994]",1,"[Service-2015]"
Service-1320,0,[],3,"[Service-17959, Service-2073, Service-9256]"
Service-1321,4,"[Service-19992, Service-18081, Service-3962, Service-5406]",2,"[Service-14845, Service-1113]"
Service-1322,2,"[Service-4846, Service-17845]",0,[]
Service-1323,0,[],3,"[Service-19247, Service-2581, Service-15665]"
Service-1324,1,"[Service-19102]",0,[]
Service-1325,2,"[Service-1565, Service-16589]",3,"[Service-916, Service-647, Service-14609]"
Service-1326,2,"[Service-6900, Service-17838]",4,"[Service-19848, Service-19250, Service-11908, Service-3445]"
Service-1327,4,"[Service-7776, Service-4788, Service-10331, Service-696]",2,"[Service-12177, Service-14417]"
Service-1328,3,"[Service-2240, Service-15448, Service-4145]",0,[]
Service-1329,4,"[Service-14226, Service-10655, Service-2351, Service-9854]",2,"[Service-3081, Service-14180]"
Service-1330,2,"[Service-18183, Service-11386]",1,"[Service-6281]"
Service-1331,3,"[Service-18263, Service-16652, Service-12746]",2,"[Service-2534, Service-13803]"
Service-1332,4,"[Service-10531, Service-7057, Service-8190, Service-4610]",1,"[Service-8862]"
Service-1333,2,"[Service-11693, Service-4221]",1,"[Service-11475]"
Service-1334,3,"[Service-12279, Service-11018, Service-12657]",3,"[Service-12846, Service-840, Service-14196]"
Service-1335,1,"[Service-9699]",3,"[Service-7862, Service-7889, Service-18424]"
Service-1336,3,"[Service-9828, Service-10307, Service-13664]",4,"[Service-18319, Service-10457, Service-9308, Service-6972]"
Service-1337,2,"[Service-11935, Service-13525]",1,"[Service-5600]"
Service-1338,2,"[Service-316, Service-16100]",2,"[Service-9594, Service-3294]"
Service-1339,4,"[Service-13792, Service-16315, Service-9272, Service-15039]",3,"[Service-5282, Service-16594, Service-17418]"
Service-1340,3,"[Service-18047, Service-11092, Service-2766]",3,"[Service-6211, Service-7712, Service-6181]"
Service-1341,0,[],1,"[Service-19956]"
Service-1342,1,"[Service-13059]",3,"[Service-14969, Service-2095, Service-16694]"
Service-1343,2,"[Service-10799, Service-17347]",4,"[Service-8251, Service-16365, Service-8802, Service-1620]"
Service-1344,4,"[Service-8980, Service-8761, Service-17320, Service-13650]",0,[]
Service-1345,4,"[Service-5296, Service-7331, Service-11786, Service-14159]",1,"[Service-4960]"
Service-1346,2,"[Service-19950, Service-7583]",0,[]
Service-1347,0,[],3,"[Service-17636, Service-6394, Service-17345]"
Service-1348,2,"[Service-8563, Service-15520]",1,"[Service-6293]"
